text,label,source
45세 남성 고객인데 암보험 추천해줘,recommendation,manual
"30대 여성 직장인, 월 10만원 이내로 건강보험 뭐가 좋아?",recommendation,manual
60세 남성 부모님 보험 들어드리고 싶어,recommendation,manual
"어린이 보험 추천해줘, 5세 남아야",recommendation,manual
"40대 여성 고객, 암 가족력 있어. 월 15만원 이내",recommendation,manual
"35세 남성, 운전 많이 해서 상해보험 필요해",recommendation,manual
50대 부부 종신보험 뭐가 좋아?,recommendation,manual
"20대 직장인 첫 보험, 실손 위주로 추천해줘",recommendation,manual
"당뇨 있는 55세 남성 고객, 간편심사 상품 있어?",recommendation,manual
연금보험 알아보는 40대 여성 고객이야,recommendation,manual
"치아보험 추천해줘, 50대 여성",recommendation,manual
아이 태어났는데 태아보험 추천 부탁해,recommendation,manual
월 20만원 예산으로 최대 보장 받을 수 있는 상품이 뭐야,recommendation,manual
65세 어머니 치매 보험 추천해줘,recommendation,manual
"30대 초반 남성, 사망보장 위주로 추천해줘",recommendation,manual
고혈압 있는 고객인데 가입 가능한 보험 있어?,recommendation,manual
저축성 보험 알아보는 고객이야,recommendation,manual
암 치료 후 완치된 고객인데 가입 가능한 보험 추천해줘,recommendation,manual
"퇴직 앞둔 58세 남성 고객, 연금 설계해줘",recommendation,manual
월 5만원으로 들 수 있는 보험이 뭐가 있어?,recommendation,manual
수호천사 암보험 보장 내용이 뭐야?,product_info,manual
우리WON 건강보험 어떤 거 보장해줘?,product_info,manual
엔젤 하이브리드 연금보험 설명해줘,product_info,manual
실손보험 보장 범위가 어디까지야?,product_info,manual
수호천사 종신보험 납입기간 옵션이 어떻게 돼?,product_info,manual
다이렉트 보장보험 가입조건 알려줘,product_info,manual
치아보험 임플란트 보장이 있어?,product_info,manual
우리WON 미니상해보험 보험료 어느 정도야?,product_info,manual
어린이보험 보장 항목 알려줘,product_info,manual
간편보장보험이랑 일반 보장보험 차이가 뭐야?,product_info,manual
유니버셜 종신보험 특징이 뭐야?,product_info,manual
암보험 면책기간이 어떻게 돼?,product_info,manual
수호천사 실손 보장보험 갱신 주기 알려줘,product_info,manual
누구나행복연금보험 수령 방식이 어떻게 돼?,product_info,manual
독특한암치료보험 주요 보장 내용이 뭐야?,product_info,manual
꿈나무 우리아이보험 가입 가능 나이가 어떻게 돼?,product_info,manual
치매간병보험 지급 조건이 뭐야?,product_info,manual
VIP플러스 정기보험 사망보험금이 얼마야?,product_info,manual
건강검진 수술보험 어떤 수술 보장해줘?,product_info,manual
온라인 저축보험 금리가 어떻게 돼?,product_info,manual
암보험에 어떤 특약 넣는 게 좋아?,special_terms,manual
종신보험 특약 구성 어떻게 하면 좋을까?,special_terms,manual
실손 특약 추가하면 보험료 얼마나 올라?,special_terms,manual
입원일당 특약 추가해야 할지 모르겠어,special_terms,manual
